instance_id,solver,run_id,seed,makespan,runtime,status,error
irrelevant_gen_3,earliest_start,1,1355430615,35,0.001447916030883789,ok,
irrelevant_gen_3,genetic,1,812392226,35,14.625726699829102,ok,
irrelevant_gen_4,bruteforce,1,264483028,37,53.15770602226257,ok,
irrelevant_gen_4,earliest_start,1,1763309722,37,0.0015637874603271484,ok,
irrelevant_gen_4,genetic,1,1873558571,37,16.36542010307312,ok,
irrelevant_gen_5,bruteforce,1,387858420,33,51.68495583534241,ok,
irrelevant_gen_5,earliest_start,1,774857436,39,0.0014984607696533203,ok,
irrelevant_gen_5,genetic,1,784520486,33,15.578006982803345,ok,
greedy_killer_gen_1,bruteforce,1,460141631,23,3.783783197402954,ok,
greedy_killer_gen_1,earliest_start,1,2049373486,23,0.0004999637603759766,ok,
greedy_killer_gen_1,genetic,1,1747055169,23,4.840972185134888,ok,
greedy_killer_gen_2,bruteforce,1,1597728254,24,3.4766578674316406,ok,
greedy_killer_gen_2,earliest_start,1,1344754476,24,0.00047779083251953125,ok,
greedy_killer_gen_2,genetic,1,853628814,24,4.92171311378479,ok,
greedy_killer_gen_3,bruteforce,1,756214855,25,3.6741487979888916,ok,
greedy_killer_gen_3,earliest_start,1,1001566948,25,0.0005056858062744141,ok,
greedy_killer_gen_3,genetic,1,999320521,25,5.140855550765991,ok,
greedy_killer_gen_4,bruteforce,1,1617140009,26,3.6326489448547363,ok,
greedy_killer_gen_4,earliest_start,1,560710812,26,0.00045013427734375,ok,
greedy_killer_gen_4,genetic,1,914258097,26,4.932946681976318,ok,
greedy_killer_gen_5,bruteforce,1,1111619700,27,3.61657452583313,ok,
greedy_killer_gen_5,earliest_start,1,1811005345,27,0.0004525184631347656,ok,
greedy_killer_gen_5,genetic,1,1462625493,27,4.93363881111145,ok,
